run,frequency_hz,gain_db
1,36840.32413563725,-18.98856261619277
1,36981.47383017467,-18.96504364842771
1,37123.16432441285,-18.96267065269419
1,37265.397690367,-18.95323868117158
1,37408.17600799105,-18.94632052101022
1,37551.50136520806,-18.93693332019233
1,37695.37585794069,-18.93701554740081
1,37839.80159014198,-18.928597204649
1,37984.78067382596,-18.925241766857
1,38130.31522909865,-18.91010283122254
1,38276.40738418902,-18.8996861820421
1,38423.05927548013,-18.88877775259718
1,38570.27304754032,-18.87853442094627
1,38718.05085315467,-18.86579425512214
1,38866.39485335636,-18.87216758055403
1,39015.30721745837,-18.85901092124912
1,39164.79012308518,-18.84881095125496
1,39314.84575620454,-18.84268345325613
1,39465.47631115958,-18.82769407301184
1,39616.68399070075,-18.83544154618544
1,39768.47100601814,-18.81295386817388
1,39920.83957677373,-18.80967629652164
1,40073.79193113396,-18.79270691402727
1,40227.33030580218,-18.78893286489489
1,40381.45694605145,-18.77714576054425
1,40536.17410575738,-18.77006816506993
1,40691.48404743102,-18.75701156788408
1,40847.38904225199,-18.75468795392964
1,41003.89137010172,-18.74540173844023
1,41160.9933195967,-18.73206313639961
1,41318.69718812205,-18.72386928127327
1,41477.00528186508,-18.71410072298631
1,41635.91991584897,-18.69753244164878
1,41795.44341396668,-18.68734871229568
1,41955.5781090149,-18.68373676910444
1,42116.32634272819,-18.67888422192798
1,42277.6904658132,-18.66123374978426
1,42439.67283798307,-18.65452631641907
1,42602.27582799191,-18.64275693936797
1,42765.50181366948,-18.63379162229723
1,42929.3531819559,-18.62220824017174
1,43093.83232893661,-18.60961294949973
1,43258.94165987739,-18.60462485384711
1,43424.68358925953,-18.5851157519056
1,43591.06054081516,-18.57774757102214
1,43758.07494756266,-18.57039764552171
1,43925.72925184223,-18.55077134267065
1,44094.02590535169,-18.54709321305665
1,44262.96736918222,-18.53716590140031
1,44432.55611385444,-18.5128575297983
1,44602.79461935446,-18.51169538933788
1,44773.68537517025,-18.50371503014044
1,44945.23088032792,-18.48953190556546
1,45117.43364342836,-18.47945173328486
1,45290.29618268388,-18.46912287952183
1,45463.82102595505,-18.44932134809603
1,45638.01071078766,-18.4454527518621
1,45812.86778444984,-18.43022871060252
1,45988.39480396928,-18.41554027322563
1,46164.59433617068,-18.40836221273459
1,46341.4689577132,-18.39033573267309
1,46519.02125512823,-18.37093834520217
1,46697.25382485717,-18.36066610625435
1,46876.16927328937,-18.35562808517391
1,47055.77021680032,-18.3480626317159
1,47236.05928178984,-18.32622338108898
1,47417.03910472053,-18.31957895064128
1,47598.71233215628,-18.31154304442309
1,47781.08162080105,-18.29191148458657
1,47964.14963753763,-18.27462712185472
1,48147.91905946672,-18.26019516857377
1,48332.39257394599,-18.23549565132118
1,48517.57287862946,-18.23010661583857
1,48703.46268150694,-18.22014461377755
1,48890.06470094358,-18.20647532015881
1,49077.38166571961,-18.19045927025715
1,49265.41631507038,-18.1845756287048
1,49454.17139872625,-18.16445532642929
1,49643.6496769529,-18.13649768047671
1,49833.85392059164,-18.12983031885565
1,50024.78691109999,-18.11868853662453
1,50216.45144059232,-18.10683484160224
1,50408.85031188065,-18.08297392135678
1,50601.98633851573,-18.06796072805172
1,50795.86234482805,-18.057559695589
1,50990.48116596926,-18.03824253767779
1,51185.84564795357,-18.02360524838283
1,51381.95864769941,-18.01190084112144
1,51578.82303307113,-17.9992853327133
1,51776.44168292105,-17.98581484847812
1,51974.81748713147,-17.9565958110952
1,52173.95334665695,-17.94691132783932
1,52373.85217356675,-17.92875153056573
1,52574.51689108741,-17.90995424613614
1,52775.95043364551,-17.89078988081082
1,52978.15574691053,-17.87132883976534
1,53181.135787838,-17.86023431368903
1,53384.89352471267,-17.84519880614946
1,53589.43193719198,-17.82531468383085
1,53794.75401634958,-17.80818937209393
